xt,yt,xf,yf
0.0,0.0,0.0,(-7.847943601516185e-07+0j)
5e-06,0.03152051083795083,16.668055671305943,(-7.850114333499694e-07-1.6639052277799152e-06j)
1e-05,0.06300880254333659,33.336111342611886,(-7.856619392844185e-07-3.333344548956535e-06j)
1.5e-05,0.0944327034745275,50.00416701391783,(-7.867492265042041e-07-5.013898777828096e-06j)
2e-05,0.1257601366422182,66.67222268522377,(-7.882756870434248e-07-6.711240982060218e-06j)
2.5e-05,0.15695916621808906,83.34027835652972,(-7.90248009684049e-07-8.43118511056895e-06j)
3e-05,0.1879980430801411,100.00833402783566,(-7.926709382975435e-07-1.017973618091736e-05j)
3.5e-05,0.21884524910261433,116.6763896991416,(-7.955542040115882e-07-1.1963145274817882e-05j)
4e-05,0.249469539922413,133.34444537044754,(-7.989068618144997e-07-1.3787963638838401e-05j)
4.5e-05,0.27983998594291926,150.0125010417535,(-8.027407539341938e-07-1.5661108455491866e-05j)
5e-05,0.30992601136932235,166.68055671305945,(-8.070691516696277e-07-1.758992942198875e-05j)
5.5e-05,0.3396974311063548,183.34861238436537,(-8.119077656077757e-07-1.9582284468625986e-05j)
6e-05,0.36912448538877346,200.01666805567132,(-8.172734397684904e-07-2.1646625469815537e-05j)
6.5e-05,0.39817787205615357,216.68472372697727,(-8.231866717009397e-07-2.379209262957227e-05j)
7e-05,0.4268287764256387,233.3527793982832,(-8.296690977400111e-07-2.602862343986908e-05j)
7.5e-05,0.45504889875826054,250.02083506958914,(-8.367458666427602e-07-2.8367075146358277e-05j)
8e-05,0.4828104793553728,266.6888907408951,(-8.444445935488915e-07-3.081936747236065e-05j)
8.5e-05,0.510086321360711,283.356946412201,(-8.527962981036779e-07-3.339864408392376e-05j)
9e-05,0.5368498113797486,300.025002083507,(-8.618356389397626e-07-3.6119464974869206e-05j)
9.5e-05,0.5630749380605734,316.6930577548129,(-8.716008099585323e-07-3.899802286764896e-05j)
0.0001,0.5887363088087683,333.3611134261189,(-8.821348269138369e-07-4.205240599651028e-05j)
0.000105,0.6138091648321563,350.0291690974248,(-8.934853345105563e-07-4.5302898684451665e-05j)
0.00011,0.638269394729296,366.69722476873073,(-9.057057297118308e-07-4.8772342587377175e-05j)
0.000115,0.6620935468479525,383.3652804400367,(-9.188549264315086e-07-5.248656207768143e-05j)
0.00012,0.6852588406462351,400.03333611134263,(-9.329996396240678e-07-5.647487480574756e-05j)
0.000125,0.7077431772896153,416.70139178264856,(-9.482139723234253e-07-6.0770700153109686e-05j)
0.00013,0.7295251497117224,433.36944745395454,(-9.645815979929641e-07-6.541229840643925e-05j)
0.000135,0.7505840523558928,450.03750312526046,(-9.821954025253897e-07-7.044366062292085e-05j)
0.00014,0.7708998907982614,466.7055587965664,(-1.0011618793429576e-06-7.591559701103368e-05j)
0.000145,0.7904533914322657,483.37361446787236,(-1.021600082308418e-06-8.188707146039587e-05j)
0.00015,0.8092260113693223,500.0416701391783,(-1.043644062118901e-06-8.842684634749465e-05j)
0.000155,0.8271999486818988,516.7097258104842,(-1.067450338812233e-06-9.561552074794673e-05j)
0.00016,0.8443581530839499,533.3777814817902,(-1.0931907187259356e-06-0.00010354809573320796j)
0.000165,0.8606843371106028,550.0458371530962,(-1.1210704364425007e-06-0.00011233717425616187j)
0.00017,0.8761629878248968,566.713892824402,(-1.1513177183707264e-06-0.00012211706171472159j)
0.000175,0.8907793790452089,583.381948495708,(-1.1842018999529136e-06-0.00013304897725419096j)
0.00018,0.9045195840536254,600.050004167014,(-1.220032471956917e-06-0.0001453278087968357j)
0.000185,0.9173704887137618,616.7180598383198,(-1.2591734323942963e-06-0.00015919090755378562j)
0.00019,0.9293198048972487,633.3861155096258,(-1.3020507125486441e-06-0.00017492967186583108j)
0.000195,0.940356084091971,650.0541711809318,(-1.3491663509091137e-06-0.0001929049705794673j)
0.0002,0.950468731042861,666.7222268522378,(-1.4011182501785428e-06-0.00021356791985139558j)
0.000205,0.9596480172581233,683.3902825235436,(-1.4586244657322147e-06-0.00023748824228727298j)
0.00021,0.9678850942006472,700.0583381948496,(-1.5225477787322135e-06-0.0002653934936393809j)
0.000215,0.9751720059763456,716.7263938661556,(-1.5939366831927888e-06-0.0002982241475429916j)
0.00022,0.9815017013284159,733.3944495374615,(-1.6740782822074712e-06-0.0003372122145968182j)
0.000225,0.986868044749068,750.0625052087674,(-1.7645627093067915e-06-0.00038399541801850527j)
0.00023,0.9912658265280272,766.7305608800734,(-1.867370045241202e-06-0.0004407861407044199j)
0.000235,0.9946907715698219,783.3986165513793,(-1.9849890967656702e-06-0.0005106264695852766j)
0.00024,0.9971395468291724,800.0666722226853,(-2.1205642364722606e-06-0.0005977812728724211j)
0.000245,0.998609767235188,816.7347278939912,(-2.2780761429177393e-06-0.0007083565148438377j)
0.00025,0.9991,833.4027835652971,(-2.462521668452598e-06-0.000851288940224923j)
0.000255,0.998609767235188,850.0708392366031,(-2.6799701216452063e-06-0.0010399417531356332j)
0.00026,0.9971395468291724,866.7388949079091,(-2.937026644392315e-06-0.0012946158606550544j)
0.000265,0.9946907715698219,883.4069505792149,(-3.2380299676893494e-06-0.0016459759798943246j)
0.00027,0.9912658265280272,900.0750062505209,(-3.573331752097133e-06-0.0021362247910536696j)
0.000275,0.9868680447490681,916.7430619218269,(-3.867557465754795e-06-0.002791116709995067j)
0.00028,0.981501701328416,933.4111175931328,(-3.693989140822095e-06-0.003326651767445042j)
0.000285,0.9751720059763457,950.0791732644387,(3.903897049616339e-07+0.0007603070373234972j)
0.00029,0.9678850942006473,966.7472289357447,(-0.1257127736884771-240.09330193584373j)
0.000295,0.9596480172581234,983.4152846070507,(0.39270127582354813+1500.0091100401185j)
0.0003,0.9504687310428611,1000.0833402783566,(-1.9661764261840006e-07-2519.789993759725j)
0.000305,0.9403560840919711,1016.7513959496625,(-0.39270166893145925+1500.0091098315895j)
0.00031,0.9293198048972489,1033.4194516209684,(0.12571238043173613-240.09330235302758j)
0.000315,0.917370488713762,1050.0875072922745,(-7.837734332441419e-07+0.0007596808148645156j)
0.00032,0.9045195840536253,1066.7555629635804,(3.300414040983931e-06-0.0033274875425000636j)
0.000325,0.8907793790452092,1083.4236186348862,(3.4737364890610203e-06-0.0027921627364825485j)
0.00033,0.8761629878248969,1100.0916743061923,(3.179209612648781e-06-0.0021374819440520654j)
0.000335,0.8606843371106029,1116.7597299774982,(2.843551615508141e-06-0.0016474453140265378j)
0.00034,0.84435815308395,1133.427785648804,(2.5421358728713033e-06-0.0012962986120344118j)
0.000345,0.8271999486818992,1150.0958413201101,(2.2846116203127812e-06-0.0010418393417298485j)
0.00035,0.8092260113693224,1166.763896991416,(2.0666385148016417e-06-0.0008534029725358477j)
0.000355,0.7904533914322659,1183.4319526627219,(1.8816116049432272e-06-0.0007106887885656302j)
0.00036,0.7708998907982615,1200.100008334028,(1.7234615374825219e-06-0.000600333779478668j)
0.000365,0.750584052355893,1216.7680640053338,(1.587189664837437e-06-0.0005134013986090454j)
0.00037,0.7295251497117229,1233.4361196766397,(1.4688156886432084e-06-0.00044378588615215354j)
0.000375,0.7077431772896154,1250.1041753479458,(1.3651943478435663e-06-0.00038722258169359845j)
0.00038,0.6852588406462353,1266.7722310192516,(1.2738363561032077e-06-0.00034066961221828143j)
0.000385,0.6620935468479529,1283.4402866905575,(1.1927600353302785e-06-0.00030191481610308607j)
0.00039,0.6382693947292962,1300.1083423618636,(1.1203751956666342e-06-0.00026932069765547617j)
0.000395,0.6138091648321568,1316.7763980331695,(1.0553942199628558e-06-0.00024165548032314743j)
0.0004,0.5887363088087684,1333.4444537044756,(9.967668723698627e-07-0.00021797893291518238j)
0.000405,0.5630749380605736,1350.1125093757814,(9.436285426370267e-07-0.00019756375232552929j)
0.00041,0.536849811379749,1366.7805650470873,(8.952621094756359e-07-0.0001798404770146718j)
0.000415,0.5100863213607111,1383.4486207183934,(8.510679519337315e-07-0.00016435825998216847j)
0.00042,0.4828104793553731,1400.1166763896993,(8.105420113409949e-07-0.00015075651533996356j)
0.000425,0.4550488987582611,1416.7847320610051,(7.732571488796647e-07-0.00013874413732801842j)
0.00043,0.426828776425639,1433.4527877323112,(7.388487520561291e-07-0.0001280840819160281j)
0.000435,0.3981778720561541,1450.120843403617,(7.070046182197523e-07-0.00011858178127709327j)
0.00044,0.3691244853887737,1466.788899074923,(6.77457211564898e-07-0.00011007634561470635j)
