amplitude,frequency,yrms,THDN,THD,Fs,aperture
1.2,100.0,1.1949557743331272,0.00275516940451449,0.00010476116745995599,19531.25,5.1e-05
1.2,500.0,1.1961141726378144,0.00020337803137575254,6.298621751890688e-05,78125.0,1.26e-05
1.2,1000.0,1.1960803689565187,0.0002373131872649873,7.278589852309808e-05,156250.0,6.2e-06
1.2,2500.0,1.1957098887836701,0.0003885255123342005,0.0003058942162637959,312500.0,3e-06
1.2,5000.0,1.1946227971599845,0.0013103710256495216,0.0012872783948497453,625000.0,1.4e-06
1.2,7500.0,1.193246456695367,0.0029364245145871944,0.0029162797183899893,1250000.0,6e-07
1.2,10000.0,1.1910370380923816,0.004496375898497471,0.004493916715038068,1250000.0,6e-07
1.2,15000.0,1.1833023574806554,0.00694774258626201,0.006950367335455751,2500000.0,2e-07
1.2,30000.0,1.140708555056618,0.01763984604997783,0.017782071404983685,5000000.0,0.0
