,ydata,freqs,yf_old,yf_filter
56,4.35282,0.011197760447910418,(0.5187181507884224+0.3633619802992645j),(0.5187181507884224+0.3633619802992645j)
57,4.34805,0.011397720455908818,(-0.29591186376497136-0.20580585733351997j),(-0.29591186376497136-0.20580585733351997j)
58,4.32127,0.011597680463907217,(0.17938946751505247+0.05549743369676417j),(0.17938946751505247+0.05549743369676417j)
59,4.28957,0.011797640471905619,(-0.2583144705258133-0.017401282491862007j),(-0.2583144705258133-0.017401282491862007j)
60,4.24568,0.011997600479904018,(0.1286442069471869+0.03510661431731081j),(0.1286442069471869+0.03510661431731081j)
61,4.19601,0.01219756048790242,(0.12312234169113469-0.08427604895907319j),(0.12312234169113469-0.08427604895907319j)
62,4.13637,0.012397520495900819,(-0.20226411898540608+0.2888729875754742j),(-0.20226411898540608+0.2888729875754742j)
63,4.06193,0.01259748050389922,(0.22131809563147387-0.4661173007971286j),(0.22131809563147387-0.4661173007971286j)
64,3.98923,0.01279744051189762,(-0.30849106631446876+0.42627535517442583j),(-0.30849106631446876+0.42627535517442583j)
65,3.90252,0.01299740051989602,(0.29345296513189423-0.29033918376557033j),(0.29345296513189423-0.29033918376557033j)
66,3.8026,0.013197360527894421,(-0.1561994455958099+0.21760135520577592j),(-0.1561994455958099+0.21760135520577592j)
67,3.69206,0.01339732053589282,(-0.09557157861522442-0.11628879895776713j),(-0.09557157861522442-0.11628879895776713j)
68,3.57207,0.013597280543891222,(0.3384288150429338-0.1952473544935039j),(0.3384288150429338-0.1952473544935039j)
69,3.44182,0.013797240551889621,(-0.295755109555923+0.2883799844790922j),(-0.295755109555923+0.2883799844790922j)
70,3.29743,0.013997200559888023,(0.039651231885155534-0.10531748357674252j),(0.039651231885155534-0.10531748357674252j)
71,3.14762,0.014197160567886422,(0.05620991232947113-0.01812632847761661j),(0.05620991232947113-0.01812632847761661j)
72,2.99347,0.014397120575884822,(-0.14295692781027375+0.10456451136973723j),(-0.14295692781027375+0.10456451136973723j)
73,2.83081,0.014597080583883223,(0.08169227222833099-0.07429007660141734j),(0.08169227222833099-0.07429007660141734j)
74,2.66685,0.014797040591881623,(-0.0031080902447345425-0.05781505722004156j),(-0.0031080902447345425-0.05781505722004156j)
75,2.49444,0.014997000599880024,(-0.047543672486561966-0.029587010402899266j),(-0.047543672486561966-0.029587010402899266j)
76,2.31193,0.015196960607878424,(-0.09899987284394537+0.12074607841657437j),(1e-10+0j)
77,2.12371,0.015396920615876823,(-0.03874821932440241-0.22258377606640833j),(1e-10+0j)
78,1.9305,0.015596880623875225,(-828.9768953441525-277.83508528690015j),(1e-10+0j)
79,1.73976,0.015796840631873626,(5170.4408677606125+1735.3675985192672j),(1e-10+0j)
80,1.54605,0.015996800639872025,(-8675.528763912405-2914.696936178628j),(1e-10+0j)
81,1.33667,0.016196760647870425,(5158.573035557367+1734.8431318906323j),(1e-10+0j)
82,1.11914,0.016396720655868825,(-824.0544719580885-277.45149958083766j),(1e-10+0j)
83,0.90883,0.016596680663867228,(-0.4948927814989024-0.04441141474318574j),(-0.4948927814989024-0.04441141474318574j)
84,0.69599,0.016796640671865627,(0.4861048759741366+0.11399367678847361j),(0.4861048759741366+0.11399367678847361j)
85,0.47434,0.016996600679864027,(-0.2909193261329618-0.33209600322211963j),(-0.2909193261329618-0.33209600322211963j)
86,0.2576,0.017196560687862426,(0.03893940666262405+0.3444404817653167j),(0.03893940666262405+0.3444404817653167j)
87,0.03877,0.017396520695860826,(0.21322688140419782+0.09920548920927408j),(0.21322688140419782+0.09920548920927408j)
88,-0.17587,0.01759648070385923,(-0.003675985134081697-0.5233639162347505j),(-0.003675985134081697-0.5233639162347505j)
89,-0.40005,0.01779644071185763,(-0.3775264715734945+0.4920395424461169j),(-0.3775264715734945+0.4920395424461169j)
90,-0.62235,0.017996400719856028,(0.511187072705076-0.2004984023736758j),(0.511187072705076-0.2004984023736758j)
91,-0.83887,0.018196360727854428,(-0.40336181160941054+0.06071577184160083j),(-0.40336181160941054+0.06071577184160083j)
92,-1.04709,0.018396320735852827,(0.18992503602743058-0.2654828636056476j),(0.18992503602743058-0.2654828636056476j)
93,-1.25422,0.01859628074385123,(0.0692863633559774+0.6332097171185298j),(0.0692863633559774+0.6332097171185298j)
94,-1.46403,0.01879624075184963,(-0.11830123089836835-0.5571223149520129j),(-0.11830123089836835-0.5571223149520129j)
95,-1.66893,0.01899620075984803,(-0.19965859788979204+0.11811796971408074j),(-0.19965859788979204+0.11811796971408074j)
96,-1.87289,0.01919616076784643,(0.5008069235066335+0.04767101262162689j),(0.5008069235066335+0.04767101262162689j)
97,-2.06797,0.01939612077584483,(-0.44517251915349376-0.012397248484996525j),(-0.44517251915349376-0.012397248484996525j)
98,-2.25987,0.019596080783843232,(0.09058080530296586+0.058738030831307304j),(0.09058080530296586+0.058738030831307304j)
99,-2.44852,0.01979604079184163,(0.3458512523373754-0.06915325646117274j),(0.3458512523373754-0.06915325646117274j)
100,-2.6223,0.01999600079984003,(-0.6083688678653765+0.1923261501581892j),(-0.6083688678653765+0.1923261501581892j)
101,-2.79522,0.02019596080783843,(0.6159119784622811-0.40806459706123666j),(0.6159119784622811-0.40806459706123666j)
102,-2.96048,0.020395920815836834,(-0.3538704514235326+0.2758851385458136j),(-0.3538704514235326+0.2758851385458136j)
103,-3.1222,0.020595880823835233,(-0.11422851026807711-0.04416200474077639j),(-0.11422851026807711-0.04416200474077639j)
104,-3.27295,0.020795840831833633,(0.42296669824986477-0.03485256638290872j),(0.42296669824986477-0.03485256638290872j)
105,-3.41179,0.020995800839832032,(-0.4295736149034913+0.20543468071276355j),(-0.4295736149034913+0.20543468071276355j)
106,-3.54261,0.021195760847830432,(0.34811357650425145-0.3465706002506432j),(0.34811357650425145-0.3465706002506432j)
107,-3.66867,0.021395720855828835,(-0.18961056834798262+0.36969716203172875j),(-0.18961056834798262+0.36969716203172875j)
108,-3.78318,0.021595680863827234,(-0.23345809367675746-0.3286411750471515j),(-0.23345809367675746-0.3286411750471515j)
109,-3.88996,0.021795640871825634,(0.622539004197429+0.1958085174326455j),(0.622539004197429+0.1958085174326455j)
110,-3.98721,0.021995600879824034,(-0.543102039115764-0.16482208241055785j),(-0.543102039115764-0.16482208241055785j)
111,-4.07969,0.022195560887822433,(0.16276869091883028+0.1909496356530524j),(0.16276869091883028+0.1909496356530524j)
112,-4.1516,0.022395520895820836,(0.18875743554670815-0.036238430806532496j),(0.18875743554670815-0.036238430806532496j)
113,-4.21442,0.022595480903819236,(-0.2995517300761834-0.13974901139548057j),(-0.2995517300761834-0.13974901139548057j)
114,-4.26748,0.022795440911817635,(0.03833284373533895+0.15483904682914412j),(0.03833284373533895+0.15483904682914412j)
115,-4.30936,0.022995400919816035,(0.11186622272278947-0.12456585655913893j),(0.11186622272278947-0.12456585655913893j)
116,-4.34177,0.023195360927814435,(0.09766051904655174+0.09176461622746497j),(0.09766051904655174+0.09176461622746497j)
117,-4.36899,0.023395320935812838,(-0.17166638167722453+0.05709709867000277j),(-0.17166638167722453+0.05709709867000277j)
118,-4.38184,0.023595280943811237,(0.09769246980113935-0.1656974440108664j),(0.09769246980113935-0.1656974440108664j)
119,-4.37831,0.023795240951809637,(-0.18048646066780188+0.08482032232116929j),(-0.18048646066780188+0.08482032232116929j)
120,-4.36582,0.023995200959808036,(0.2035685117514438-0.05280077776667785j),(0.2035685117514438-0.05280077776667785j)
121,-4.33708,0.02419516096780644,(-0.10472024662215657+0.12618498635323647j),(-0.10472024662215657+0.12618498635323647j)
122,-4.30632,0.02439512097580484,(-0.010563481582834912-0.019625473279012824j),(-0.010563481582834912-0.019625473279012824j)
123,-4.26337,0.02459508098380324,(0.14276871963942733-0.17012672200668974j),(0.14276871963942733-0.17012672200668974j)
124,-4.20554,0.024795040991801638,(0.007132062537511197-0.009318186274539404j),(0.007132062537511197-0.009318186274539404j)
125,-4.14388,0.024995000999800038,(-0.34986793583978604+0.2496521444298611j),(-0.34986793583978604+0.2496521444298611j)
126,-4.06735,0.02519496100779844,(0.42626161099807724-0.2053563519308496j),(0.42626161099807724-0.2053563519308496j)
127,-3.98273,0.02539492101579684,(-0.23062712142187303+0.13649442787441027j),(-0.23062712142187303+0.13649442787441027j)
128,-3.88721,0.02559488102379524,(0.007117745656148949+0.0019090560954265062j),(0.007117745656148949+0.0019090560954265062j)
129,-3.77538,0.02579484103179364,(0.1375956150106707-0.1797020037642882j),(0.1375956150106707-0.1797020037642882j)
130,-3.6616,0.02599480103979204,(-0.16356175815874813+0.1378976435124819j),(-0.16356175815874813+0.1378976435124819j)
131,-3.53445,0.026194761047790442,(0.021015763548449744-0.07283826220192036j),(0.021015763548449744-0.07283826220192036j)
132,-3.39807,0.026394721055788842,(0.12010211651942099+0.1806499053965721j),(0.12010211651942099+0.1806499053965721j)
133,-3.25115,0.02659468106378724,(-0.13055423056907367-0.10403279610692256j),(-0.13055423056907367-0.10403279610692256j)
134,-3.1043,0.02679464107178564,(-0.02835469522051215-0.2322920183022486j),(-0.02835469522051215-0.2322920183022486j)
135,-2.94943,0.02699460107978404,(0.17768140290186524+0.2721944042082106j),(0.17768140290186524+0.2721944042082106j)
136,-2.78417,0.027194561087782444,(-0.09704547846657532+0.07430975412188583j),(-0.09704547846657532+0.07430975412188583j)
137,-2.61046,0.027394521095780843,(0.07429839674280427-0.32372821628508447j),(0.07429839674280427-0.32372821628508447j)
138,-2.43069,0.027594481103779243,(-0.1960875001745078+0.3028236484293076j),(-0.1960875001745078+0.3028236484293076j)
139,-2.24868,0.027794441111777642,(0.37706089910266527-0.22651773889605645j),(0.37706089910266527-0.22651773889605645j)
140,-2.06125,0.027994401119776045,(-0.4789147249596182+0.22687772643505358j),(-0.4789147249596182+0.22687772643505358j)
141,-1.86733,0.028194361127774445,(0.2806148732536713-0.23754451945406657j),(0.2806148732536713-0.23754451945406657j)
142,-1.67232,0.028394321135772844,(0.01564402269841323+0.21263384765052984j),(0.01564402269841323+0.21263384765052984j)
143,-1.47067,0.028594281143771244,(-0.27613694280742884-0.18350827216400903j),(-0.27613694280742884-0.18350827216400903j)
144,-1.26339,0.028794241151769644,(0.21077422949996136+0.1174344394194185j),(0.21077422949996136+0.1174344394194185j)
145,-1.04442,0.028994201159768047,(0.014684704137666413+0.17570921204144851j),(0.014684704137666413+0.17570921204144851j)
146,-0.83382,0.029194161167766446,(0.20940694039681035-0.29334298225395655j),(0.20940694039681035-0.29334298225395655j)
147,-0.6178,0.029394121175764846,(-0.399512174229283+0.005046566120718247j),(-0.399512174229283+0.005046566120718247j)
148,-0.39976,0.029594081183763245,(0.16691922990355992+0.05044454254545498j),(0.16691922990355992+0.05044454254545498j)
149,-0.18584,0.029794041191761645,(-0.05445230214235689-0.016106791525244524j),(-0.05445230214235689-0.016106791525244524j)
150,0.02686,0.029994001199760048,(0.1322822627632133+0.06910652364758588j),(0.1322822627632133+0.06910652364758588j)
151,0.24612,0.030193961207758448,(-0.23914497038888272+0.03233371249936233j),(-0.23914497038888272+0.03233371249936233j)
152,0.46849,0.030393921215756847,(0.337003501601541-0.10110304693136767j),(0.337003501601541-0.10110304693136767j)
153,0.68675,0.030593881223755247,(-0.07888740080999196-0.06116514501965768j),(-0.07888740080999196-0.06116514501965768j)
154,0.89641,0.030793841231753646,(-0.24599376969617867+0.31835245687638897j),(-0.24599376969617867+0.31835245687638897j)
155,1.11033,0.03099380123975205,(0.23247322144935528-0.36244341417589665j),(0.23247322144935528-0.36244341417589665j)
156,1.32159,0.03119376124775045,(-0.2086902575140711+0.21049481040106569j),(-0.2086902575140711+0.21049481040106569j)
157,1.53009,0.03139372125574885,(0.19536110047450433+0.07018414862006539j),(0.19536110047450433+0.07018414862006539j)
158,1.73694,0.03159368126374725,(-0.001991069378286567-0.33838706498674054j),(-0.001991069378286567-0.33838706498674054j)
159,1.94249,0.03179364127174565,(-0.15828366807126015+0.3640307759631886j),(-0.15828366807126015+0.3640307759631886j)
160,2.13468,0.03199360127974405,(0.020308269595752396-0.26268680772198494j),(0.020308269595752396-0.26268680772198494j)
161,2.32759,0.03219356128774245,(0.39151989292906436+0.1331454542963362j),(0.39151989292906436+0.1331454542963362j)
162,2.5104,0.03239352129574085,(-0.6255125728504733+0.16624452201123827j),(-0.6255125728504733+0.16624452201123827j)
163,2.6875,0.03259348130373925,(0.4402331988624908-0.4690660406941323j),(0.4402331988624908-0.4690660406941323j)
164,2.85536,0.03279344131173765,(-0.19829137400792837+0.5211068809525559j),(-0.19829137400792837+0.5211068809525559j)
165,3.01405,0.03299340131973605,(0.11556747950743444-0.24273731505833662j),(0.11556747950743444-0.24273731505833662j)
166,3.16155,0.033193361327734455,(-0.07798358956323491-0.3031129264621948j),(-0.07798358956323491-0.3031129264621948j)
167,3.30255,0.033393321335732855,(0.022147495142295907+0.448280301385237j),(0.022147495142295907+0.448280301385237j)
168,3.44645,0.033593281343731254,(-0.053728028829406256-0.14728910702790732j),(-0.053728028829406256-0.14728910702790732j)
169,3.57669,0.033793241351729654,(0.08774967418394547+0.15044563194573204j),(0.08774967418394547+0.15044563194573204j)
170,3.69047,0.033993201359728054,(0.05698144319147727-0.41499455135008523j),(0.05698144319147727-0.41499455135008523j)
171,3.80029,0.03419316136772645,(-0.14002293326734425+0.5374006473045945j),(-0.14002293326734425+0.5374006473045945j)
172,3.90844,0.03439312137572485,(0.07115438400085734-0.44808398135364047j),(0.07115438400085734-0.44808398135364047j)
173,3.99428,0.03459308138372325,(-0.10650634408886929+0.330534670297551j),(-0.10650634408886929+0.330534670297551j)
174,4.075,0.03479304139172165,(0.17584827392382252-0.22779699246657753j),(0.17584827392382252-0.22779699246657753j)
175,4.14633,0.03499300139972005,(-0.008789052895494684-0.012753751009000624j),(-0.008789052895494684-0.012753751009000624j)
176,4.20229,0.03519296140771846,(-0.21795037221091088+0.3023010957716962j),(-0.21795037221091088+0.3023010957716962j)
177,4.25976,0.03539292141571686,(0.020278550402775652-0.3507258426610027j),(0.020278550402775652-0.3507258426610027j)
178,4.30076,0.03559288142371526,(0.4445712726955665+0.12192697453564647j),(0.4445712726955665+0.12192697453564647j)
179,4.32972,0.03579284143171366,(-0.4147076099104797-0.08190250803721423j),(-0.4147076099104797-0.08190250803721423j)
180,4.34379,0.035992801439712056,(-0.15311668124537955+0.19875026872403842j),(-0.15311668124537955+0.19875026872403842j)
181,4.343,0.036192761447710456,(0.6287553103538412-0.12083941374543941j),(0.6287553103538412-0.12083941374543941j)
182,4.34286,0.036392721455708855,(-0.6589603097037884-0.09542283296321165j),(-0.6589603097037884-0.09542283296321165j)
183,4.32993,0.036592681463707255,(0.29598282005278265+0.23816106010278054j),(0.29598282005278265+0.23816106010278054j)
184,4.30466,0.036792641471705655,(0.05059309859387236+0.00821028805757374j),(0.05059309859387236+0.00821028805757374j)
185,4.26698,0.03699260147970406,(-0.10931421970611314-0.34559830166452926j),(-0.10931421970611314-0.34559830166452926j)
186,4.21052,0.03719256148770246,(-0.09741756150284836+0.2531441227747931j),(-0.09741756150284836+0.2531441227747931j)
187,4.14944,0.03739252149570086,(0.42926360103851724+0.040914020039500454j),(0.42926360103851724+0.040914020039500454j)
188,4.07529,0.03759248150369926,(-0.4598472583707783-0.29191743550975446j),(-0.4598472583707783-0.29191743550975446j)
189,3.994,0.03779244151169766,(0.20771965915187718+0.5640937799606752j),(0.20771965915187718+0.5640937799606752j)
190,3.90469,0.03799240151969606,(-0.1041786750869784-0.6437398150103311j),(-0.1041786750869784-0.6437398150103311j)
191,3.80014,0.03819236152769446,(-0.09633923285663759+0.4474814345930154j),(-0.09633923285663759+0.4474814345930154j)
192,3.68824,0.03839232153569286,(0.40560387187953684-0.11872995500326158j),(0.40560387187953684-0.11872995500326158j)
193,3.56276,0.03859228154369126,(-0.34406421143131444-0.2267748450874834j),(-0.34406421143131444-0.2267748450874834j)
194,3.43547,0.03879224155168966,(0.013039624270499423+0.12886430341517635j),(0.013039624270499423+0.12886430341517635j)
195,3.29505,0.038992201559688064,(0.2743050648816667+0.3167661259331308j),(0.2743050648816667+0.3167661259331308j)
196,3.15245,0.039192161567686463,(-0.433380832445686-0.4171477399875662j),(-0.433380832445686-0.4171477399875662j)
197,2.99434,0.03939212157568486,(0.45272048049753133+0.25901855265366597j),(0.45272048049753133+0.25901855265366597j)
198,2.84121,0.03959208158368326,(-0.2831949988234691-0.38231990318249476j),(-0.2831949988234691-0.38231990318249476j)
199,2.67486,0.03979204159168166,(0.05826435031018233+0.6478422230322296j),(0.05826435031018233+0.6478422230322296j)
200,2.49805,0.03999200159968006,(0.10271133473236985-0.5725545493118449j),(0.10271133473236985-0.5725545493118449j)
201,2.3138,0.04019196160767846,(-0.178758100880687+0.2837960741359967j),(-0.178758100880687+0.2837960741359967j)
202,2.12103,0.04039192161567686,(-0.007306751580110633-0.14426320294302317j),(-0.007306751580110633-0.14426320294302317j)
203,1.92393,0.04059188162367526,(0.21141206700107446+0.06196190603288599j),(0.21141206700107446+0.06196190603288599j)
204,1.72568,0.04079184163167367,(-0.3803580138766056+0.03819241437386954j),(-0.3803580138766056+0.03819241437386954j)
205,1.52367,0.04099180163967207,(0.7412412580945755+0.04796922622214897j),(0.7412412580945755+0.04796922622214897j)
206,1.32195,0.041191761647670466,(-0.7533756619453751-0.0886325632286911j),(-0.7533756619453751-0.0886325632286911j)
207,1.11503,0.041391721655668866,(0.4083946570913267+0.07460345108446251j),(0.4083946570913267+0.07460345108446251j)
208,0.90695,0.041591681663667265,(-0.31160697155874084-0.027744767717123697j),(-0.31160697155874084-0.027744767717123697j)
209,0.69577,0.041791641671665665,(0.27748692633898725-0.29915363490008917j),(0.27748692633898725-0.29915363490008917j)
210,0.47773,0.041991601679664065,(0.0612119106791746+0.3649585815785439j),(0.0612119106791746+0.3649585815785439j)
211,0.26511,0.042191561687662464,(-0.40789208078746764-0.0400349897048176j),(-0.40789208078746764-0.0400349897048176j)
212,0.04483,0.042391521695660864,(0.44902651853654313-0.11233996626361728j),(0.44902651853654313-0.11233996626361728j)
213,-0.1732,0.04259148170365926,(-0.5455988854366566+0.1667481823913093j),(-0.5455988854366566+0.1667481823913093j)
214,-0.40142,0.04279144171165767,(0.6226524508318438-0.23961332607597452j),(0.6226524508318438-0.23961332607597452j)
215,-0.61939,0.04299140171965607,(-0.3509483371247991+0.10316372389646587j),(-0.3509483371247991+0.10316372389646587j)
216,-0.82956,0.04319136172765447,(0.17097984666322552-0.11611371566650112j),(0.17097984666322552-0.11611371566650112j)
217,-1.04138,0.04339132173565287,(-0.44032127117047654+0.10798464968078425j),(-0.44032127117047654+0.10798464968078425j)
218,-1.25545,0.04359128174365127,(0.7650963773903885+0.3569310814752441j),(0.7650963773903885+0.3569310814752441j)
219,-1.46721,0.04379124175164967,(-0.7441085267202179-0.39734888591489237j),(-0.7441085267202179-0.39734888591489237j)
220,-1.66438,0.04399120175964807,(0.5879490872323179-0.17011583101324634j),(0.5879490872323179-0.17011583101324634j)
221,-1.87029,0.04419116176764647,(-0.4606599466717032+0.3461140254385716j),(-0.4606599466717032+0.3461140254385716j)
222,-2.06782,0.044391121775644866,(0.33953695886931523-0.015731405588783068j),(0.33953695886931523-0.015731405588783068j)
223,-2.25937,0.04459108178364327,(-0.3522386108410512-0.1690626520835654j),(-0.3522386108410512-0.1690626520835654j)
224,-2.44737,0.04479104179164167,(0.3800753926911935-0.039189490110192134j),(0.3800753926911935-0.039189490110192134j)
225,-2.62656,0.04499100179964007,(-0.3813180147273214+0.1573795239053311j),(-0.3813180147273214+0.1573795239053311j)
226,-2.79609,0.04519096180763847,(0.3156207159842036+0.09315325646279407j),(0.3156207159842036+0.09315325646279407j)
227,-2.96366,0.04539092181563687,(0.14818615032959032-0.20262042015897175j),(0.14818615032959032-0.20262042015897175j)
228,-3.12018,0.04559088182363527,(-0.6047070696517566+0.1428061410908285j),(-0.6047070696517566+0.1428061410908285j)
229,-3.27664,0.04579084183163367,(0.6798796670031619-0.08161802718213235j),(0.6798796670031619-0.08161802718213235j)
230,-3.41713,0.04599080183963207,(-0.7540332314907894-0.1380267034237376j),(-0.7540332314907894-0.1380267034237376j)
231,-3.54861,0.04619076184763047,(0.7551534621275973+0.253537830997126j),(0.7551534621275973+0.253537830997126j)
232,-3.66535,0.04639072185562887,(-0.3600215985607887-0.11982897613771176j),(-0.3600215985607887-0.11982897613771176j)
233,-3.78094,0.046590681863627276,(-0.07725653022160128-0.046712556504437674j),(-0.07725653022160128-0.046712556504437674j)
234,-3.8875,0.046790641871625675,(0.09014680684905327-0.001517999223193199j),(0.09014680684905327-0.001517999223193199j)
235,-3.98439,0.046990601879624075,(0.03063358426501682+0.2081152554916318j),(0.03063358426501682+0.2081152554916318j)
236,-4.07558,0.047190561887622474,(-0.07377407293940959-0.17639751089502914j),(-0.07377407293940959-0.17639751089502914j)
237,-4.15853,0.047390521895620874,(0.31152288799753436+0.00922040564776018j),(0.31152288799753436+0.00922040564776018j)
238,-4.22091,0.047590481903619274,(-0.008143344910392272-1.1357560347014135j),(-0.008143344910392272-1.1357560347014135j)
239,-4.27246,0.04779044191161767,(-2.3285039683100877+7.366077542157318j),(-2.3285039683100877+7.366077542157318j)
